name,prefecture_code,address,access,description,period,checkin,checkout,phone,contact_link
吉井百年公園,40,福岡県うきは市吉井町富永423-1,,"・キャンプ場
・プール
・アスレチック
・イベント広場",通年営業,フリー,フリー,0943-75-4983,http://www.city.ukiha.fukuoka.jp/intro/pub/detail.aspx?c_id=52&redi=ON&id=30&pg=1
帆柱キャンプ場,40,福岡県北九州市八幡東区前田,"・最寄り駅=JR八幡駅から車利用で30分。皿倉山ケーブルカー山麓駅から車で15分。
皿倉山ケーブルカー山麓駅よりケーブルカーで山上駅へ。山上駅から徒歩15分。","・テントサイト29区画（夏休み期間はテント常設）
・炊事場、営火場、水道、水洗トイレ、管理棟",通年営業,12：00,11：00,093-671-3061,https://www.city.kitakyushu.lg.jp/yahatahigashi/w5200001.html
油山市民の森,40,福岡県福岡市南区桧原８５５−４,"・「堤」ランプを降り福岡外環状道路へ
・降口から約200ｍ先の「堤」交差点を約1km南進
・博多工業高校を左手に見ながら通過し道なり
・油山観音を目印に左折
・道なりに行くと油山市民の森料金所",デイキャンプ（BBQ）のみ使用料無料,通年営業,11:00,14:00,092-871-6969,https://www.shimi-mori.com/guide/camp
北条鹿島キャンプ場,38,愛媛県松山市北条辻1596-4,"【鹿島渡船】
大人往復運賃210円
小児（小学生以下）往復運賃110円
高齢者往復運賃（65歳以上）110円
※時刻は時刻ご確認ください",フリーサイト、調理台・飯盒炊飯用釜戸・洗い場（上水道）備えた炊事棟、水洗トイレ、シャワー場、野営場（全て無料・予約不要）,通年営業,フリー,フリー,089-948-6558,https://www.city.matsuyama.ehime.jp/kanko/kankoguide/shitestukoen/kashima/kyannpu.html
西中国山国定公園聖湖キャンプ場,34,広島県山県郡北広島町東八幡原城代,中国自動車道・戸河内ICより30㎞、車で約40分。,管理棟、テントサイト(約90張)、炊事場、ファイヤーサークル、多目的広場、水洗トイレなど,シーズン営業4月下旬～11月中旬まで,フリー,フリー,050-5812-2002,https://www.pref.hiroshima.lg.jp/site/eco/j-j1-recnew-shisetsu-kohyou-nisityuugoku-hijiriko-kohyou.html
田の浦野営場,37,香川県東かがわ市引田3017-2,高松自動車道・引田ICより4.5km、車で約15分。,フリーテントサイト、仮設トイレ、水道など,通年営業,フリー,フリー,0879-26-1276,https://www.higashikagawa.jp/itwinfo/i8373/
柳茶屋キャンプ場,31,鳥取県鳥取市浜坂1157,・鳥取市街から県道265号で鳥取砂丘方面へ進み現へ。鳥取砂丘こどもの国に隣接。,"・キャンプサイトフリー
・炊事棟　2棟
・バーベキュー棟
・トイレ
・自動販売機",通年営業,フリー,フリー,0857-30-8291,https://www.city.tottori.lg.jp/www/contents/1335848117565/index.html
高知県立種崎千松公園,39,高知県高知市種崎,高知自動車道・とさICより20km、車で約30分。,テント専用サイト(約30張)、水場、自動販売機、遊具広場、海水浴場、水洗トイレなど,通年営業,フリー,フリー,088-882-8143,https://www.pref.kochi.lg.jp/soshiki/171801/tanezaki.html
十神山なぎさ公園,32,島根県安来市安来町2273-1,・山陰自動車道安来ICから県道9号、国道9号でJR安来駅へ。県道265号経由で現。安来ICから5km。,"・キャンプサイト　10張分
・遊歩道
・親水公園
・水鳥観察ハウス
・炊飯棟（水道・調理台、かまど）
・トイレ
・シャワー室
・砂浜",通年営業,問合せ要,問合せ要,0854-23-3321,https://www.city.yasugi.shimane.jp/kurashi/machizukuri/doro-kasen-koen/tokamiyamanagisakouen.html
大麻山キャンプ場,37,香川県善通寺市善通寺町2380-176,高松自動車道・善通寺ICより9km、車で約25分。,テントサイト(約20張)、炊事場、ファイヤーサークル、トイレなど,3月～12月中旬（終日開放）,フリー,フリー,0877－63－6328,https://www.city.zentsuji.kagawa.jp/soshiki/50/oosacamp.html
新平ヶ原公園,35,山口県周南市巣山,中国自動車道・鹿野ICより9km、車で約20分。,オートフリーサイト(約20台)、炊事場、多目的広場、水洗トイレなど,通年営業,フリー,フリー,0834-22-8372,http://www.city.shunan.lg.jp/site/kanko/2985.html
水分峡森林公園キャンプ場,34,広島県安芸郡府中町石コロビ,広島高速1号線・間所ICより2.5km、車で約10分。,管理棟、駐車場、テントサイト、東屋、展望台、野鳥観察小屋など,通年営業,フリー,フリー,082-286-3244,https://www.town.fuchu.hiroshima.jp/site/mikumari/1915.html
山野峡キャンプ場,34,広島県福山市山野町山野,山陽自動車道・福山東ICより27km、車で約50分。,管理棟、売店、テントサイト、炊事場、ファイヤーサークル、公衆電話、トイレなど,シーズン営業7月1日～8月31日まで,13:00,11:00,084-928-1042,https://www.city.fukuyama.hiroshima.jp/soshiki/kanko/186164.html
大山池野営場,31,鳥取県倉吉市関金町松河原,・米子自動車道湯原ICから国道313号関金温泉方面へ。関金宿交差点で県道50号・45号、一般道と進み、狼谷溜池目指して現へ。,"・フリーサイト
・トイレ（障がい者トイレあり）
・水場","シーズン営業5月上旬〜10月下旬
（水場の使用可能期間は4月〜8月まで）",要確認,要確認,0858-45-2111,https://www.city.kurayoshi.lg.jp/gyousei/div/soumu/sekigane/5/p616/
三倉岳県立自然公園キャンプ場,34,広島県大竹市栗谷町小栗林217,広島岩国道路・大竹ＩＣより20ｋｍ、車で約35分。,管理棟、テントサイト(約60張、団体用サイトもあり)、炊事場、ファイヤーサークル、水洗トイレなど,通年営業,9:00,17:00,0827-56-0660,http://www.city.otake.hiroshima.jp/miryoku/sightseeing/1456039514919.html
梶ヶ森キャンプ場,39,高知県長岡郡大豊町佐賀山1248-3,高知自動車道・大豊ICより26km、車で約55分。,山荘梶ヶ森(受付・売店)、テントサイト、炊事場、トイレなど,シーズン営業4月～11月まで,フリー(山荘宿泊は16:00),フリー(山荘宿泊は10:00),0887-74-0360,https://www.kajigamori.com/campsite
岡山虎口池野営場,33,岡山県岡山市南区宮浦落合,山陽自動車道岡山ICから約50分,,通年営業,要確認,要確認,080-6244-1233,https://www.okayama-kanko.jp/spot/10195
邑久自然教育の森キャンプ場,33,岡山県瀬戸内市邑久町下山田1711-3,赤穂線邑久駅から車で１０分。利用希望日の前日までに、教育委員会社会教育課または市内各公民館の窓口にて申請書を記入・提出し、許可を受けてください。（お電話でのご予約はできません。）,テントサイト、炊事棟、クラフト場、管理棟、流れの広場など,通年営業,9:00,17:00,0869-34-5605,https://www.city.setouchi.lg.jp/soshiki/38/3819.html
四万十川キャンプ場,39,高知県四万十市入田,高知自動車道・四万十町中央ICより52km、車で約80分。,管理棟、テント専用サイト、炊事場、トイレ、駐車場など,通年営業,フリー,フリー,0880-37-0608,https://ntsitemasen.info/experience/simantogawakyanpujo
高間キャンプ場,33,岡山県総社市種井,"岡山自動車道　岡山総社ICから車60分
JR伯備線　美袋駅から車で20分",キャンプサイト、休憩所、炊事棟、簡易トイレなど,４月から１１月頃（詳しくはお問い合わせください）,フリー,フリー,0866-92-8277,https://www.city.soja.okayama.jp/kanko_project/kanko/kannkou_bunnka/sisetu/takama_camp.html
野呂川ダムキャンプ場,34,広島県呉市安浦町中畑641-11,中国自動車道・高田ICより3.5km、車で約5分。【R3/11月現在閉鎖中】,管理棟、テントサイト、炊事場など,通年営業,フリー,フリー,0823-84-3636,http://www.yasuura-yumekobo.com/enjoy/enjoydata/yama004.html
銚子ダム公園,38,愛媛県伊予郡砥部町川登3775,松山自動車道・松山ＩＣより23ｋｍ、車で約50分。,テント専用サイト(約40張)、水場、多目的広場、トイレ、運動広場、休憩広場など,通年営業,フリー,フリー,089-962-6010,https://www.town.tobe.ehime.jp/soshiki/6/cyoushidamu.html
長曽池キャンプ場,38,愛媛県伊予郡砥部町総津,松山自動車道・松山ICより27km、車で約45分。,オートサイト(フリー15)、炊事場、水洗トイレなど,通年営業,フリー,フリー,089-962-6010,https://www.town.tobe.ehime.jp/soshiki/6/nagasoikekouen.html
えひめ森林公園,38,愛媛県伊予市上三谷,松山自動車道・松山ICより12km、車で約25分。,管理棟、テント専用サイト(約18張)、炊事場、自動販売機、水洗トイレなど,4月1日から10月31日まで,フリー,フリー,089-983-3069,http://www.aimori.jp/park/guide/index.html
龍岡キャンプ場,38,愛媛県今治市玉川町龍岡下,【車】西瀬戸自動車道今治ICから約30分　,フリーサイト、トイレ、小学校跡地を利用したキャンプ場,通年営業,フリー,フリー,0898-55-2211,https://www.city.imabari.ehime.jp/kanko/spot/?a=155
桜井海浜ふれあい広場,38,愛媛県今治市桜井甲1130-2,車／「今治湯ノ浦IC」から車で約5分,テントサイト、シャワールーム、グランド、トイレ,通年営業,フリー,フリー,0898-36-1563,https://www.city.imabari.ehime.jp/kanko/spot/?a=136
朝倉ダム湖畔緑水公園,38,愛媛県今治市朝倉上,"今治IC→約30分
今治湯ノ浦IC→約25分",バーベキュー棟(3台)、水道、かまど、など,通年営業,フリー,フリー,0898-56-2500,https://www.city.imabari.ehime.jp/kanko/spot/?a=145
七五三ヶ浦公園キャンプ場,38,愛媛県今治市波方町宮崎甲736,"【電車】JR波方駅からタクシーに乗り約30分
【車】瀬戸内しまなみ海道今治北ICから国道317号・県道15号で今治市波方町へ波方駅付近で県道166号に入り県道301号で梶取の鼻方面へ。今治北ICから約45分","トイレ、水道(飲料不可)、フリーサイト、など
※詳しくは今治市役所波方支所までお問い合わせください。",要確認,フリー,フリー,0898-41-7111,https://www.city.imabari.ehime.jp/kanko/spot/?a=161
大角海浜公園キャンプ場,38,愛媛県今治市波方町波方乙893-1,瀬戸内しまなみ海道今治北ICから国道317号、県道160号・166号で大角鼻方面へ進み、案内板で右折し約1km。今治北ICから7km,炊事棟、シャワー室、水洗トイレ,通年営業,フリー,フリー,0898-41-7111,https://www.city.imabari.ehime.jp/kanko/spot/?a=160
御三戸遊園キャンプ場,38,愛媛県上浮穴郡久万高原町上黒岩,"車／杉山自動車道「松山IC」下車→国道33号線高知方面（約1時間）
電車／JR「美川村御三戸駅」徒歩5分",キャンプサイト,通年営業,フリー,フリー,0892-21-1111,https://www.kumakogen.jp/soshiki/6/
黒島海浜公園,38,愛媛県新居浜市黒島2,松山自動車道新居浜ICから新居浜市街へ。新居浜市街から県道13号で四国中央方面へ進み、案内板左折て約1kmで現。新居浜ICから10km,フリーサイト,通年営業,フリー,フリー,0897-65-1270,https://www.city.niihama.lg.jp/soshiki/tokei/
新居浜市市民の森,38,愛媛県新居浜市船木乙2-1,松山自動車道新居浜ICから県道47号、国道11号で四国中央方面へ。途中、入口看板左折し約300mで現。新居浜ICから4km,"テントサイト
キャンプファイヤー
",通年営業,フリー,フリー,0897-40-2121,https://www.city.niihama.lg.jp/soshiki/nousui/shiminnnomorisaikai.html
ムーンビーチ井野浦キャンプ場,38,愛媛県西宇和郡伊方町井野浦,JR予讃線八幡浜駅から国道197号線井野浦方面へ車で60分,"テントサイト(30区画)、フリーサイト(約10～15張)、流し台、トイレ、シャワー、売店、など
",シーズン営業7月〜8月末,要確認,要確認,0894-54-1111,https://www.town.ikata.ehime.jp/map/1356.html
須賀公園キャンプ場,38,愛媛県西宇和郡伊方町三机乙803,バス停　高浜高校前　約65m徒歩で約1分,キャンプサイト,通年営業,フリー,フリー,0894-57-2745,https://www.town.ikata.ehime.jp/map/1405.html
本谷公園キャンプ場,38,愛媛県西条市河之内甲494,JR壬生川駅から車で20分。【R3/11現在閉鎖中】,キャンプサイト,通年営業,フリー,フリー,0897-52-1684,https://www.city.saijo.ehime.jp/soshiki/kanko/sisetu5.html
塩ヶ森ふるさと公園キャンプ場,38,愛媛県東温市南方,松山自動車道川内ICから国道11号、県道210号塩ヶ森方面へ車で7km,管理棟、フリーサイト、炊事棟、トイレ、遊具、など,通年営業,フリー,フリー,089-964-4414,https://www.city.toon.ehime.jp/soshiki/13/1290.html
岡山県青少年の島梶子島,33,岡山県笠岡市笠岡梶子島,"笠岡港より旅客船で25分
（船の出航時間については、「かさおか島づくり海社」のホームページよりご確認ください）",キャンプファイヤ－のできる広場など。無料（ただし、次の利用者のために男女共同参画青少年課で指定する草刈り、施設内の清掃、便所掃除、倉庫整理等のワーク活動をお願いします。）（船の出航時間に関しては「かさおか島づくり海社」のホームページよりご確認ください）,通年営業,フリー,フリー,086-226-0557,https://www.okayama-kanko.jp/spot/10650
県営女木島キャンプ場,37,香川県高松市女木町,高松港よりフェリー乗船で女木港へ。女木港より徒歩3分、または車ですぐ。,オートフリーサイト(約14台)、炊事場、シャワー、遊具、水洗トイレなど,通年営業,フリー,フリー,087-873-0728,https://megijimayaeijyou.mystrikingly.com/
小島キャンプ場,39,高知県安芸郡北川村小島,高知自動車道・南国ICより67km、車で約1時間半。,管理棟、フリーサイト、炊事場、トイレなど,通年営業,フリー,フリー,0887-32-1221,http://www.kitagawamura.jp/soshiki/#
白猪谷オートキャンプ場,39,高知県吾川郡いの町寺川白猪谷185-5,高知自動車道・伊野ICより63km、車で約100分。,オートフリーサイト(約20台)、炊事場、トイレなど,シーズン営業4月～11月まで,フリー,フリー,088-869-2115,https://www.attaka.or.jp/kanko/dtl.php?ID=824
星ヶ窪キャンプ場,39,高知県吾川郡仁淀川町長者乙6606,高知自動車道・須崎東ICより43km、車で約70分。,フリーテントサイト、炊事場、水洗トイレ、多目的広場など,通年営業,フリー,フリー,0889-32-1041,https://www.town.niyodogawa.lg.jp/life/life_dtl.php?hdnKey=958
県立月見山こどもの森,39,高知県香南市香我美町岸本1269-7,高知自動車道・須崎東ICより19km、車で約30分。,管理事務所、キャンプサイト(フリー)、炊事場、展望台、アスレチック遊具、ミニ八十八ヶ所めぐり、ツリーハウス(遊具)、水洗トイレなど,通年営業,フリー,フリー,0887-55-1682,https://tukimiyama.sakura.ne.jp/guide.html
松葉川林間キャンプ場,39,高知県高岡郡四万十町日野605-1,高知自動車道・四万十町中央ICより20km、車で約40分。,テント専用サイト、炊事場、東屋、トイレ、駐車場など,通年営業,フリー,フリー,0880-23-0585,https://www.attaka.or.jp/kanko/dtl.php?ID=834
かわうそ自然公園,39,高知県高岡郡津野町永野251-1,高知自動車道・須崎西ICより12km、車で約15分。,管理棟、テントサイト、炊事場、かわうそ学習館、水洗トイレなど,通年営業,フリー,フリー,0889-55-2381,https://www.attaka.or.jp/kanko/dtl.php?ID=1063
桑の川キャンプ場,39,高知県高岡郡津野町赤木,高知自動車道・須崎西ICより15km、車で約20分。,管理棟、テントサイト、炊事場、トイレ、更衣室、遊泳プールなど,通年営業,フリー,フリー,0889-55-2021,https://www.attaka.or.jp/kanko/dtl.php?ID=838
帰全山公園キャンプ場,39,高知県長岡郡本山町本山,高知自動車道・大豊ICより9km、車で約15分。,フリーサイト、炊事場、冷水シャワー、水洗トイレなど,通年営業,フリー,フリー,0887-76-391,https://www.attaka.or.jp/kanko/dtl.php?ID=819
大父木親水公園,31,鳥取県東伯郡琴浦町大父1075-75,・赤碕駅下車し、バスで３０分、徒歩１０分。,"・キャンプサイト　6張分
・炊事棟
・トイレ",シーズン営業4月～11月,フリー,フリー,0858-55-7802,https://www.kotoura-kankou.com/nature/obuki-jishinsui_park/
渡津島キャンプ場,32,島根県隠岐郡知夫村島津島,・米子自動車道米子ICから国道431号と一般道で境港へ。隠岐汽船に乗り来居港で下船し、県道322号で薄毛港へ。徒歩でお松橋渡り約10分で現地,・水道、トイレ、水シャワー,通年営業,フリー,フリー,08514-8-2272,http://chibu.jp/
平田森林公園キャンプ場,32,島根県出雲市東福町1984-33,・畑電鉄雲州平田駅から車で10分,"・フリーサイト
・東屋
・水場
・トイレ",通年営業,フリー,フリー,0853-21-6735,https://www.city.izumo.shimane.jp/www/contents/1550024951564/index.html
道猿坊公園キャンプ場,32,島根県浜田市弥栄町木都賀ハ25,・浜田自動車道・浜田ICから約70分,・フリーサイト、テーブル・ベンチ、野外炉の設置あり。ゴミ回収所もあり（生ごみは持ち帰り）,通年営業,15:00,14:00※宿泊施設はイン16:00,0855‐32‐0080,https://www.all-iwami.com/spot/detail_1291.html
三野農村ふれあい広場,36,徳島県三好市三野町加茂野宮1803-3,・井川池田IC→国道32号（高松方面）→県道12号→市道→（全行程：車で約３0分）JR江口駅より車で１０分,"・芝生広場
・多目的広場
・キャンプ場
・トイレ",通年営業,フリー,フリー,0883-77-4803,https://www.miyoshi.i-tokushima.jp/docs/4208.html
日峯大神子広域公園,36,徳島県徳島市大原町大神子7-1,・ＪＲ徳島駅より車で約２５分,"・キャンプ場
・テニスコート
・炊事棟
・テーブル
・トイレ",通年営業,デイキャンプのみ,デイキャンプのみ,088-624-7950,http://www.toku-eta.or.jp/park/h_camp/
桂川渓谷キャンプ場,38,愛媛県西予市野村町野村17-59-1,松山自動車道西予宇和ICから県道29号、国道441号で西予市野村町へ。桂川渓谷入口右折し約2kmで現。西予宇和ICから14km,フリーサイト、トイレ、水道(飲料不可),通年営業,フリー,フリー,0894-72-1111,https://www.seiyojikan.jp/
大土山憩の森キャンプ場,34,広島県安芸高田市甲田町下小原,"車／中国自動車道「高田IC」下車30分

電車／広島駅から約1時間10分、JR芸備線「向原駅(安芸高田市向原町)」下車。現までタクシー約20分","フリーサイト5区画ほど
トイレ有、トイレットペーパー備
ペット同伴可",通年営業,フリー,フリー,0826-46-7055,https://www.hiroshima-kankou.com/spot/3614
柳瀬キャンプ場,34,広島県広島市安佐北区可部町柳瀬,"可部駅から徒歩で1時間30分
広島バスセンターから柳瀬行「下柳瀬」下車",無人、予約不要,通年営業,要確認,要確認,082-504-2503,https://www.city.hiroshima.lg.jp/soshiki/47/235205.html
樫西キャンプ場,39,高知県幡多郡大月町樫ノ浦,"高知自動車道四万十町中央ICから、車で2時間
高知西南交通バス「海水浴場前」下車すぐ","樫西海岸/シャワー室（男3、女3）
トイレ（男小1大1、女1）
樫西園/シャワー室（男3、女3）
トイレ（男小2、大1、女2）
※シャワーは冷水",通年営業,フリー,フリー,0880-73-1181,https://www.attaka.or.jp/kanko/dtl.php?ID=3906
宮川内ダム公園キャンプ場,36,徳島県阿波市土成町宮川内平間５８,土成ICより約3km,"〇トレイ
〇ベンチ

※道の駅「どなり」にコイン式シャワーあり",通年営業,フリー,フリー,0883-36-8722,https://www.awa-kankou.jp/odekake/miyakawauchidamu/
白岩岬公園キャンプ場,39,高知県宿毛市沖の島町,片島港から、宿毛市営定期船で50分～1時間35分（沖の島まで）,"水道（山水）
トイレ",通年営業,フリー,フリー,0880-63-1118,https://www.attaka.or.jp/kanko/dtl.php?ID=1134
ゆうゆう広場,35,山口県防府市大字上右田,"九州方面から山陽自動車道防府西IC下車後、車で6分
広島方面から山陽自動車道防府東IC下車後、車で4分",オートキャンプサイト(18区画)、トイレ、水道、身障者用駐車スペースを備えたサイトが一箇所あります（No.18区画：最下流端）,通年営業,要確認,要確認,0835-25-2429,https://www.city.hofu.yamaguchi.jp/soshiki/27/yuuyuuhiroba.html
知清公園キャンプ場,38,愛媛県喜多郡内子町知清,"国道56号線から知清橋渡り、すぐ左折
※吊り橋：自転車やバイクの乗り入れも禁止",フリーオートサイト、炊事棟、トイレ、身体障害者用トイレ、農産体験施設、など,通年営業,フリー,フリー,0893-43-1122,https://www.karari.jp/
前川キャンプ場,36,徳島県勝浦郡勝浦町三溪平山14-1,"徳島バス勝浦線「横瀬東」下車→徒歩10分
横瀬小学校南　横瀬橋土手沿い→徒歩10分
JR徳島駅→25km",バーベキュー施設(2棟)、炊事場、トイレ、シャワー※水のみ,通年営業,フリー,フリー,0885-42-2552,http://www.town.katsuura.lg.jp/docs/2010111000439/
桑谷キャンプ場,23,愛知県岡崎市桑谷町雨山1,"●車●
名古屋方面から国道1号線美合新町北交差点右折し、道なりに直進（約15分）
豊橋方面からは国道1号線山中小学校北交差点左折し、道なりに進み、桑谷町交差点左折、直進約700ｍ
●電車●
名鉄「美合駅」下車→名鉄バス羽栗行に乗り「桑谷バス停」下車、徒歩20分。",テントサイト（29張）・炊事場（炉6基）・井戸・行水場・トイレ・公衆電話,通年営業,16:00,10:00,"0564-23-6216 ",https://www.city.okazaki.lg.jp/1100/1109/1163/p003176.html
大垣市野外活動センター,21,岐阜県大垣市青墓町982,東海環状自動車道・大垣西ICより6.5km、車で約15分。,管理棟、テントサイト(約12張)、炊事場、野外炉、自動販売機、トリム広場(ベンチ、藤棚等)など,シーズン営業4月～10月まで,フリー,フリー,0584-71-0112,https://www.city.ogaki.lg.jp/0000000340.html
童子沢親水公園,22,静岡県島田市大代２４７７－１６,"●車●
新東名自動車道島田金谷ＩＣ下車約10分",テントサイト、炊事棟、野外炉、レンガ炉、水遊び場など,通年営業,フリー,フリー,0547-46-4400,https://www.city.shimada.shizuoka.jp/kanko-docs/waxtupazawa.html
白糸の滝キャンプ場,28,兵庫県豊岡市出石町袴狭,,"・テントサイト　10張程度
・トイレ",シーズン営業冬季以外営業,,,0796-52-4806,https://www.izushi.co.jp/
奥山キャンプ場,28,兵庫県西脇市富吉上町,"●車●
中国自動車道滝野・社IC下車約30分",テントサイト、炊事場、トイレなど,通年営業,フリー,フリー,0795-22-4000,https://www.city.nishiwaki.lg.jp/kakukanogoannai/kyouikuiinkai/seisyounencenter/seishounenkenzenikusei/1360298377080.html
潮岬キャンプ場,30,和歌山県東牟婁郡串本町潮岬,"【電車】JR串本駅から熊野交通バス潮岬行きに乗り15分潮岬下車すぐ
【車】阪和自動車道南紀田辺ICから国道42号線串本方面へ100分※時期によって有料期間あり",トイレ、水場,通年営業,8:00～18:00※17:00以降は翌日受付にお越し下さい,なし,0735-62-0557,https://kankou-kushimoto.jp/spots/%e6%bd%ae%e5%b2%ac%e3%82%ad%e3%83%a3%e3%83%b3%e3%83%97%e5%a0%b4
静原キャンプ場,26,京都府京都市左京区静市静原町1172,名神高速・京都東ICより25km、車で約55分。,管理棟、テントサイト、ログハウス、炊事場、バーベキュー場、多目的広場など,通年営業,14:00,10:00,075-662-8801,http://www.26bs.org/leaders/camp.html
豊岡市大師山自然公園,28,兵庫県豊岡市引野,豊岡市街地からは車で約15分、出石城下町からは車で20分弱程度,"・自由広場
・キャンプファイヤー場
・炊事棟2棟
・テントサイト
・照明・給水設備",通年営業,フリー,フリー,0796-22-8111,https://daytrip-izushi.jp/
丸山県民サンビーチ,28,兵庫県赤穂市尾崎2296-3,"●車●
山陽自動車道赤穂IC下車約15分",テントサイト３４区画、炊事場、シャワーなど,通年営業,フリー,フリー,0791-43-6839,https://www.city.ako.lg.jp/kensetsu/kankou/shisetsu/kanko/maruyama.html
県民広場キャンプ場,28,兵庫県西脇市鹿野町1353,"●車●
中国自動車道ひょうご東条IC下車約30分",炊事棟、トイレ、サイトなど,通年営業,フリー,フリー,0795-22-4000,https://www.city.nishiwaki.lg.jp/kakukanogoannai/kyouikuiinkai/seisyounencenter/seishounenkenzenikusei/1360224357022.html
